factor,cell_type,sign,gene,loading
0,OPC,-1.0,TRIM47,-0.0009528092813917601
0,OPC,-1.0,STAMBP,-0.0009528092813922477
0,OPC,-1.0,WDR19,-0.0009528092813930467
0,OPC,-1.0,TMEM192,-0.0009528092813931342
0,OPC,-1.0,TBCCD1,-0.0009528092813934108
0,OPC,-1.0,SLC7A1,-0.0009528092813934872
0,OPC,-1.0,YARS2,-0.000952809281393772
0,OPC,-1.0,ZNF426,-0.0009528092813942617
0,OPC,-1.0,ZPR1,-0.0009528092813943737
0,OPC,-1.0,UBE2H,-0.0009528092813943903
0,OPC,-1.0,SLC10A6,-0.0009528092813945966
0,Oligodendrocyte,1.0,GCAT,11.127059497978799
0,Oligodendrocyte,1.0,HTR1E,10.290292824831722
0,Oligodendrocyte,1.0,HACD1,10.01520627175439
0,Oligodendrocyte,1.0,KATNBL1,9.99113212614657
0,Oligodendrocyte,1.0,LAP3,9.954301544174132
0,Oligodendrocyte,1.0,ITIH4,9.47214249054388
0,Oligodendrocyte,1.0,IVNS1ABP,9.263425771649263
0,Oligodendrocyte,1.0,ENAH,8.980948260326366
0,Oligodendrocyte,1.0,MMP26,8.969287070729639
0,Oligodendrocyte,1.0,HIP1,8.951222173164885
0,Oligodendrocyte,1.0,GALT,8.908086514144486
0,Oligodendrocyte,1.0,FLRT3,8.904026553468388
0,Oligodendrocyte,1.0,INPP1,8.735423932247254
0,Oligodendrocyte,1.0,MCUR1,8.734427459340429
0,Oligodendrocyte,1.0,KCNJ14,8.67432606380011
0,Oligodendrocyte,1.0,HNRNPL,8.667981043007858
0,Oligodendrocyte,1.0,CDC37L1,8.496546497008106
0,Oligodendrocyte,1.0,GPR37,8.23293629531131
0,Oligodendrocyte,1.0,GALNT18,8.207735538522797
0,Oligodendrocyte,1.0,SAP30BP,8.1953244519201
0,Oligodendrocyte,1.0,INTS6L,8.193850503955696
0,Oligodendrocyte,1.0,FOXJ3,7.965628302135834
0,Oligodendrocyte,1.0,NUDT2,7.900725383756515
0,Oligodendrocyte,1.0,MAP4K3,7.888381714386554
0,Oligodendrocyte,1.0,RSAD2,7.513758387303764
0,Oligodendrocyte,1.0,RSPH3,7.507909238090544
0,Oligodendrocyte,1.0,MGST3,7.451825440709103
0,Oligodendrocyte,1.0,GPI,7.450931004094194
0,Oligodendrocyte,1.0,PPT1,7.437992567669536
0,Oligodendrocyte,1.0,DECR1,7.352267597747174
0,Oligodendrocyte,-1.0,TCTN1,-0.04162664887077541
0,Oligodendrocyte,-1.0,PHC1,-0.11089818888448462
0,Oligodendrocyte,-1.0,SLA,-0.11240144293230354
0,Oligodendrocyte,-1.0,PRKCA,-0.14039830314308563
0,Oligodendrocyte,-1.0,NAT10,-0.14039830314308752
0,Oligodendrocyte,-1.0,PTPN7,-0.14039830314309018
0,Oligodendrocyte,-1.0,PPARGC1A,-0.14039830314309187
0,Oligodendrocyte,-1.0,PIK3CD,-0.14039830314309218
0,Oligodendrocyte,-1.0,NKAPD1,-0.14039830314309273
0,Oligodendrocyte,-1.0,MTFR2,-0.14039830314309307
0,Oligodendrocyte,-1.0,NR3C1,-0.1403983031430934
0,Oligodendrocyte,-1.0,PALLD,-0.14039830314309348
0,Oligodendrocyte,-1.0,PRKD1,-0.14039830314309376
0,Oligodendrocyte,-1.0,RHBDF1,-0.1403983031430938
0,Oligodendrocyte,-1.0,PLCXD1,-0.14039830314309434
0,Oligodendrocyte,-1.0,NBPF3,-0.14039830314309565
0,Oligodendrocyte,-1.0,RREB1,-0.14039830314309568
0,Oligodendrocyte,-1.0,NPFF,-0.14039830314309648
0,Oligodendrocyte,-1.0,PTPRU,-0.1403983031430966
0,Oligodendrocyte,-1.0,RFLNB,-0.1403983031430972
0,Oligodendrocyte,-1.0,MUTYH,-0.14039830314309726
0,Oligodendrocyte,-1.0,RNF207,-0.14039830314309767
0,Oligodendrocyte,-1.0,NACAD,-0.14039830314309767
0,Oligodendrocyte,-1.0,PPP1R36,-0.14039830314309776
0,Oligodendrocyte,-1.0,PKN2,-0.14039830314309779
0,Oligodendrocyte,-1.0,PLPP6,-0.14039830314309804
0,Oligodendrocyte,-1.0,PUM3,-0.14039830314309834
0,Oligodendrocyte,-1.0,NFKB1,-0.1403983031430985
0,Oligodendrocyte,-1.0,ROCK2,-0.14039830314309854
0,Oligodendrocyte,-1.0,OXR1,-0.1403983031430989
1,Astrocyte,1.0,HMCN2,10.950215520582383
1,Astrocyte,1.0,LSM14B,10.883629131400097
1,Astrocyte,1.0,IL1RL2,10.079187742038195
1,Astrocyte,1.0,KLHL35,10.040480420256714
1,Astrocyte,1.0,PIK3R4,9.988866561985622
1,Astrocyte,1.0,MAP4K5,9.648591227271483
1,Astrocyte,1.0,RAPGEF6,9.643489895121204
1,Astrocyte,1.0,NCALD,9.41472479885653
1,Astrocyte,1.0,MID2,9.388225477700841
1,Astrocyte,1.0,EFHC2,9.356401458403154
1,Astrocyte,1.0,ENG,9.324496669574888
1,Astrocyte,1.0,LCA5,9.106363066911154
1,Astrocyte,1.0,ERICH6B,9.08920997362551
1,Astrocyte,1.0,GSK3B,8.964442667323203
1,Astrocyte,1.0,MLF1,8.92174405786478
1,Astrocyte,1.0,HSPA13,8.887824634161634
1,Astrocyte,1.0,IDH2,8.886932269723035
1,Astrocyte,1.0,MYC,8.886530079600636
